Country,State,District,City,Population,SOS,X,Y,Location,PdId
India,Kerala,Alappuzha,Alappuzha,1741641522,76.27206530,9.50119900,"(9.501199,76.2720653)",32001
India,Kerala,Alleppey,Kayamkulam,68634627,76.43587000,9.15661720,"(9.1566172,76.43587)",32002
India,Kerala,Alleppey,Cherthala,458273053,76.30596090,9.66854920,"(9.6685492,76.3059609)",32003
India,Kerala,Calicut,Vatakara,752954955,75.57282670,11.60402150,"(11.6040215,75.5728267)",32004
India,Kerala,Calicut,Koyilandy,718733303,75.66438610,11.45270320,"(11.4527032,75.6643861)",32005
India,Kerala,Calicut,Beypore,697522696,75.79527850,11.17337050,"(11.1733705,75.7952785)",32006
India,Kerala,Calicut,Ramanattukara,359374026,75.85337440,11.18775910,"(11.1877591,75.8533744)",32007
India,Kerala,Ernakulam,Kochi,6335534464,76.18034670,9.93892000,"(9.93892,76.1803467)",32008
India,Kerala,Ernakulam,Muvattupuzha,617702384,76.57038860,9.98242450,"(9.9824245,76.5703886)",32009
India,Kerala,Ernakulam,Maradu,447042032,76.30454780,9.93622680,"(9.9362268,76.3045478)",32010
India,Kerala,Ernakulam,Kalamassery,353314461,76.31611690,10.05452570,"(10.0545257,76.3161169)",32011
India,Kerala,Idukki,Kattappana,42646417,77.09395990,9.75229860,"(9.7522986,77.0939599)",32012
India,Kerala,Kannur,Tellicherry,925583148,75.46543060,11.76537560,"(11.7653756,75.4654306)",32013
India,Kerala,Kannur,Taliparamba,724654445,75.35076180,12.02877030,"(12.0287703,75.3507618)",32014
India,Kerala,Kannur,Payyanur,721111283,75.18795590,12.10424280,"(12.1042428,75.1879559)",32015
India,Kerala,Kannur,Cannanore,568234076,75.35235330,11.86668580,"(11.8666858,75.3523533)",32016
India,Kerala,Kannur,Mattanur,470782468,75.57193860,11.93032100,"(11.930321,75.5719386)",32017
India,Kerala,Kasaragod,Kanhangad,73342840,75.05095720,12.32540430,"(12.3254043,75.0509572)",32018
India,Kerala,Kasaragod,Nileshwaram,54787255,75.11935520,12.25963360,"(12.2596336,75.1193552)",32019
India,Kerala,Kasaragod,Kasaragod,541723733,74.96649180,12.50008430,"(12.5000843,74.9664918)",32020
India,Kerala,Kasaragod,Manjeshwaram,415154217,74.87439450,12.72442990,"(12.7244299,74.8743945)",32021
India,Kerala,Kasaragod,Uppala,412122432,74.89281050,12.67402050,"(12.6740205,74.8928105)",32022
India,Kerala,Kollam,Kollam,3974193367,76.56005370,8.90414550,"(8.9041455,76.5600537)",32023
India,Kerala,Kollam,Punalur,616321187,76.90976830,9.01589450,"(9.0158945,76.9097683)",32024
India,Kerala,Kollam,Anchal,330883310,76.89203550,8.92647560,"(8.9264756,76.8920355)",32025
India,Kerala,Kottayam,Kottayam,172878687,76.48557310,9.59470870,"(9.5947087,76.4855731)",32026
India,Kerala,Kottayam,Changanassery,1279711163,76.50229460,9.43453770,"(9.4345377,76.5022946)",32027
India,Kerala,Kozhikode,Calicut,5504404244,75.74077330,11.25599490,"(11.2559949,75.7407733)",32028
